               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095465,             0.10696,            0.054346,             0.84729,             0.10357,             0.07553,            0.038235,            0.070499,            0.055777,            0.040716,            0.070566,           0.0032704,           0.0032704
                   1,            0.065781,            0.098861,            0.030308,             0.84719,             0.11913,             0.09248,            0.036251,            0.065015,            0.048592,            0.033405,            0.040522,           0.0065602,           0.0065602
                   2,            0.063949,            0.093271,            0.025584,             0.85107,             0.13566,             0.11123,            0.049133,            0.061731,            0.046052,            0.028843,            0.010435,           0.0098059,           0.0098059
                   3,            0.058489,            0.088688,            0.022076,             0.88347,             0.13151,             0.15204,             0.08395,            0.054652,            0.046984,            0.026508,            0.009802,            0.009802,            0.009802
                   4,             0.04933,            0.093493,            0.020678,             0.89251,             0.14537,             0.18233,            0.099333,             0.05309,            0.045793,            0.024184,            0.009802,            0.009802,            0.009802
                   5,            0.045295,            0.087054,            0.019458,             0.92608,             0.14831,              0.2236,             0.13056,            0.045341,            0.047955,            0.024154,            0.009736,            0.009736,            0.009736
                   6,            0.043111,            0.085243,            0.018044,             0.73133,              0.2264,             0.24858,             0.15101,             0.04603,            0.045288,            0.022904,             0.00967,             0.00967,             0.00967
                   7,            0.042072,            0.084179,            0.016942,             0.82542,             0.26242,             0.32103,             0.18961,            0.041127,             0.04321,            0.021573,            0.009604,            0.009604,            0.009604
                   8,            0.040263,            0.081066,            0.015551,             0.73855,              0.3233,             0.31704,             0.19056,            0.040923,            0.042936,              0.0197,            0.009538,            0.009538,            0.009538
                   9,            0.037734,            0.081753,            0.014622,             0.88112,                0.34,             0.37364,             0.21001,            0.040296,             0.04195,            0.018312,            0.009472,            0.009472,            0.009472
                  10,            0.037897,            0.080616,            0.013864,             0.75226,             0.35419,             0.33148,             0.18898,            0.040782,            0.044514,            0.018072,            0.009406,            0.009406,            0.009406
                  11,            0.036121,            0.080773,              0.0133,             0.79589,             0.35787,             0.37239,             0.22223,            0.037388,            0.042906,            0.016807,             0.00934,             0.00934,             0.00934
                  12,            0.035602,            0.077362,            0.012771,             0.65927,             0.35312,             0.32059,             0.20636,            0.039327,            0.045647,            0.017373,            0.009274,            0.009274,            0.009274
                  13,            0.034399,            0.076324,            0.012291,             0.80572,             0.37016,             0.37366,             0.22933,            0.037377,            0.041544,            0.015706,            0.009208,            0.009208,            0.009208
                  14,            0.034346,            0.078334,            0.012569,             0.82608,             0.36724,             0.37495,             0.23911,            0.036964,            0.041505,            0.015013,            0.009142,            0.009142,            0.009142
                  15,            0.033052,            0.077078,            0.011208,             0.58884,             0.36997,             0.36103,             0.23268,            0.037226,            0.043002,            0.014912,            0.009076,            0.009076,            0.009076
                  16,            0.033129,            0.077758,            0.011684,             0.72138,             0.36095,             0.39436,             0.24075,            0.036012,            0.043273,            0.014527,             0.00901,             0.00901,             0.00901
                  17,            0.033328,            0.075187,            0.011485,             0.78218,             0.35617,             0.36837,             0.23018,            0.037342,            0.041534,            0.013484,            0.008944,            0.008944,            0.008944
                  18,            0.033899,            0.073254,            0.010489,             0.62431,             0.38989,             0.39603,             0.24824,             0.03803,            0.041477,            0.013049,            0.008878,            0.008878,            0.008878
                  19,            0.030577,            0.072192,            0.010716,             0.59288,              0.4121,             0.39025,             0.24611,            0.036022,            0.042226,            0.013335,            0.008812,            0.008812,            0.008812
                  20,            0.031016,            0.073703,            0.010208,             0.60914,             0.41457,             0.39405,             0.26089,             0.03454,            0.040448,             0.01153,            0.008746,            0.008746,            0.008746
                  21,            0.031127,            0.071311,             0.01037,             0.66487,             0.41248,             0.41034,              0.2648,            0.036503,             0.04148,              0.0121,             0.00868,             0.00868,             0.00868
                  22,             0.03125,            0.073681,            0.009781,             0.63875,             0.38543,             0.40232,             0.27223,            0.034846,            0.040923,            0.011511,            0.008614,            0.008614,            0.008614
                  23,            0.030142,            0.071575,           0.0098779,             0.63121,             0.40405,             0.39681,             0.26457,            0.034723,            0.041116,            0.011912,            0.008548,            0.008548,            0.008548
                  24,            0.031082,            0.070485,            0.009447,             0.63465,              0.4229,             0.43996,             0.26563,            0.035344,            0.039423,            0.010753,            0.008482,            0.008482,            0.008482
                  25,            0.029982,            0.070764,           0.0093035,             0.62672,             0.37703,             0.39256,             0.23681,            0.035817,            0.041255,            0.010136,            0.008416,            0.008416,            0.008416
                  26,            0.029961,            0.069528,           0.0089688,             0.51738,             0.47502,             0.43261,             0.26685,            0.034261,            0.040228,            0.010179,             0.00835,             0.00835,             0.00835
                  27,            0.029205,            0.067224,            0.008625,             0.73622,             0.43695,             0.43059,             0.27817,            0.035752,            0.044467,            0.011548,            0.008284,            0.008284,            0.008284
                  28,             0.02969,            0.067811,           0.0088995,             0.72512,             0.42991,             0.43457,             0.29346,            0.034069,            0.039934,            0.010281,            0.008218,            0.008218,            0.008218
                  29,            0.028932,            0.071218,            0.008966,             0.69098,             0.47083,             0.44351,             0.27921,             0.03317,            0.040358,            0.010615,            0.008152,            0.008152,            0.008152
                  30,            0.028482,             0.06845,           0.0085451,             0.74869,             0.41563,             0.44479,             0.29437,            0.034141,            0.043518,            0.010681,            0.008086,            0.008086,            0.008086
                  31,            0.028295,            0.066462,           0.0082262,             0.71952,             0.43851,              0.4478,             0.29433,            0.033731,            0.041498,            0.010758,             0.00802,             0.00802,             0.00802
                  32,            0.028957,            0.066687,           0.0087964,             0.68641,             0.45786,             0.43848,             0.28689,             0.03449,            0.040639,            0.010869,            0.007954,            0.007954,            0.007954
                  33,            0.028555,            0.064245,            0.009001,             0.65634,             0.45691,             0.43098,             0.28525,            0.035065,            0.041759,            0.010965,            0.007888,            0.007888,            0.007888
                  34,            0.028506,            0.066863,           0.0080397,             0.57567,             0.49176,             0.48318,             0.31257,            0.034852,            0.040633,           0.0087627,            0.007822,            0.007822,            0.007822
                  35,            0.027614,            0.067675,           0.0078281,             0.69623,             0.48035,              0.4531,             0.27926,            0.034316,            0.041254,           0.0084118,            0.007756,            0.007756,            0.007756
                  36,            0.027295,            0.065145,           0.0078865,              0.7281,             0.44275,             0.45996,             0.29314,             0.03516,            0.040654,           0.0095497,             0.00769,             0.00769,             0.00769
                  37,            0.027983,            0.067022,           0.0078711,             0.72941,              0.4466,             0.46903,             0.28817,            0.034868,            0.041763,           0.0098825,            0.007624,            0.007624,            0.007624
