               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089882,             0.11355,            0.054435,             0.63296,            0.096981,            0.087079,            0.041543,            0.065886,              0.0471,            0.042612,            0.070566,           0.0032704,           0.0032704
                   1,            0.060138,            0.093057,             0.02985,              0.8659,             0.14866,             0.12625,            0.063021,            0.058766,            0.042716,            0.029247,            0.040522,           0.0065602,           0.0065602
                   2,            0.056956,            0.089085,            0.023555,             0.90762,             0.15754,             0.15567,            0.088556,            0.047047,            0.042363,            0.026634,            0.010435,           0.0098059,           0.0098059
                   3,             0.05084,            0.085672,             0.02038,              0.8802,             0.15458,               0.164,            0.099141,            0.050042,            0.042959,            0.024982,            0.009802,            0.009802,            0.009802
                   4,            0.045367,            0.088768,            0.019557,              0.9013,             0.16304,             0.23148,              0.1534,            0.044699,            0.042203,             0.02274,            0.009802,            0.009802,            0.009802
                   5,            0.043033,            0.083039,            0.018345,             0.95774,             0.16645,             0.23653,             0.14518,            0.043312,            0.041206,            0.020878,            0.009736,            0.009736,            0.009736
                   6,            0.040586,            0.082151,             0.01712,               0.632,             0.25446,             0.30382,             0.19805,            0.042373,            0.042619,            0.020316,             0.00967,             0.00967,             0.00967
                   7,            0.039527,            0.081696,            0.016107,             0.80177,             0.25375,             0.32843,              0.2211,            0.037975,            0.042607,            0.020187,            0.009604,            0.009604,            0.009604
                   8,              0.0367,             0.07958,            0.014897,             0.93102,             0.25522,             0.32733,             0.21026,            0.040268,            0.040178,            0.018509,            0.009538,            0.009538,            0.009538
                   9,            0.036656,            0.079424,             0.01423,             0.71204,             0.33026,             0.34738,             0.21242,            0.039051,            0.041917,            0.018148,            0.009472,            0.009472,            0.009472
                  10,             0.03528,            0.079441,            0.013929,             0.62742,             0.38119,             0.36208,             0.22057,            0.038685,            0.041997,            0.018637,            0.009406,            0.009406,            0.009406
                  11,            0.034836,            0.078475,            0.013464,             0.65057,             0.37146,             0.36878,             0.21924,            0.038417,            0.041707,            0.017687,             0.00934,             0.00934,             0.00934
                  12,            0.034744,            0.075347,            0.013264,             0.81856,             0.31247,             0.35483,             0.20956,            0.038623,            0.041421,            0.017936,            0.009274,            0.009274,            0.009274
                  13,            0.033902,            0.074946,            0.012731,             0.57102,             0.35885,              0.3869,             0.23786,            0.036588,            0.040427,              0.0166,            0.009208,            0.009208,            0.009208
                  14,            0.034178,            0.076642,            0.013285,             0.52162,             0.35595,             0.35177,             0.21807,            0.040188,            0.043054,            0.017133,            0.009142,            0.009142,            0.009142
                  15,            0.033116,            0.074855,            0.011792,             0.58113,             0.34714,             0.37202,             0.24897,            0.035122,            0.041472,            0.016655,            0.009076,            0.009076,            0.009076
                  16,            0.033528,            0.075894,            0.012179,             0.55623,             0.34365,             0.37321,             0.24467,            0.038505,            0.043403,            0.016864,             0.00901,             0.00901,             0.00901
